Nome,Data Fab,Data Val,Quant,MDD
12011076-CAFE TM SC CLAS SPAC 20X250G,19-12-2023,18-12-2024,"6.883,00",23697
12011076-CAFE TM SC CLAS SPAC 20X250G,24-01-2024,23-01-2025,3200,23697
12011076-CAFE TM SC CLAS SPAC 20X250G,04-02-2024,03-02-2025,"12.600,00",23697
12011077-CAFE TM SC EF SPAC 20X250G,26-10-2023,25-10-2024,80200,2338
12011077-CAFE TM SC EF SPAC 20X250G,03-12-2023,02-12-2024,"2.800,00",2338
12011078-CAFE TM SC EF ALM 50X100G,24-07-2023,23-07-2024,20000,000
12011078-CAFE TM SC EF ALM 50X100G,15-01-2024,14-01-2025,55000,000
12011079-CAFE TM SC EF SPAC 10X500G,11-11-2023,10-11-2024,"5.214,00",76355
12011079-CAFE TM SC EF SPAC 10X500G,19-12-2023,18-12-2024,"12.870,00",76355
12011079-CAFE TM SC EF SPAC 10X500G,19-01-2024,18-01-2025,"6.160,00",76355
12012015-CAFE SOL SC RES FAM LIOF VD 24X100G,26-07-2023,25-07-2026,"1.636,00",066
12012016-CAFE SOL SC CLAS VD ASTEC 24X100G,04-11-2023,03-11-2026,500,2028
12012016-CAFE SOL SC CLAS VD ASTEC 24X100G,25-01-2024,24-01-2027,"6.720,00",2028
12012017-CAFE SOL SC CLAS VD ASTEC 12X200G,29-07-2023,28-07-2026,34200,386
12012018-CAFE SOL SC GRAN CLAS VD ASTEC 24X50G,16-11-2023,15-11-2026,"2.081,00",1076
12012018-CAFE SOL SC GRAN CLAS VD ASTEC 24X50G,23-01-2024,22-01-2027,"2.496,00",1076
12012019-CAFE SOL SC GRAN DECAF VD ASTEC 24X50G,09-11-2023,08-11-2026,"1.285,00",314
12012021-CAFE SOL SC GRAN EF REF 24X40G,17-08-2023,16-08-2025,"2.541,00",454
12012021-CAFE SOL SC GRAN EF REF 24X40G,08-02-2024,07-02-2026,"7.272,00",454
12012023-CAFE SOL SC GRAN CLAS VID AST 12X50G,06-01-2024,21-12-2026,28600,000
12012026-CAFE SOL SC RES FAM LIOF VID 6X100G,10-11-2023,25-10-2026,1200,000
12012501-CAFE SOL SC GRAN CLAS REF 24X50G,18-10-2023,17-10-2025,"3.746,00",5295
12012501-CAFE SOL SC GRAN CLAS REF 24X50G,11-11-2023,10-11-2025,"11.856,00",5295
12012501-CAFE SOL SC GRAN CLAS REF 24X50G,01-02-2024,31-01-2026,"5.928,00",5295
12012501-CAFE SOL SC GRAN CLAS REF 24X50G,02-02-2024,01-02-2026,"35.856,00",5295
12012502-CAFE SOL SC GRAN DECAF REF 24X50G,09-11-2023,08-11-2025,"3.134,00",1483
12012502-CAFE SOL SC GRAN DECAF REF 24X50G,04-12-2023,03-12-2025,"3.648,00",1483
12012502-CAFE SOL SC GRAN DECAF REF 24X50G,05-02-2024,04-02-2026,"10.944,00",1483
12012504-CAFE SOL SC RES FAM LIOF REF 24X50G,12-10-2023,11-10-2025,"4.488,00",444
12012504-CAFE SOL SC RES FAM LIOF REF 24X50G,13-10-2023,12-10-2025,"3.582,00",444
12012507-CAFE SOL GRAN SC DECAF REF 12X5,14-10-2023,03-10-2025,60800,000
12012508-CAFE SOL SC GRAN EF REF 12X40G,29-09-2023,28-09-2025,7900,000
12012509-CAFE SOL SC RES FAM LIOF REF 12X50G,14-10-2023,13-10-2025,2400,000
12012510-CAFE SOL SC GRAN CLAS REF 24X40G,23-12-2023,22-12-2025,"3.648,00",000
12012510-CAFE SOL SC GRAN CLAS REF 24X40G,27-12-2023,26-12-2025,"10.944,00",000
12014001-CAFE CAPP SC CLAS PT 24X200G,19-01-2024,18-01-2025,300,21263
12014001-CAFE CAPP SC CLAS PT 24X200G,26-01-2024,25-01-2025,50400,21263
12014001-CAFE CAPP SC CLAS PT 24X200G,08-02-2024,07-02-2025,"8.160,00",21263
12014004-CAFE CAPP SC REF 24X100G,13-08-2023,12-08-2024,500,559
12014004-CAFE CAPP SC REF 24X100G,18-10-2023,17-10-2024,19200,559
12014005-KIT CAFE CAPP SC CLAS PT 2X200G,30-10-2023,29-10-2024,81000,240
12014009-CAFE CAPP SC CLAS POTE 6X200G,01-09-2023,31-08-2024,200,000
12014009-CAFE CAPP SC CLAS POTE 6X200G,13-01-2024,12-01-2025,97400,000
12014010-CAFE CAPP SC REF 12X100G,09-12-2023,08-12-2024,34800,000
"12015008-CHOCOLATE QUENTE 3C VENDING 5S 5X1,1KG",08-11-2023,07-11-2024,13600,3758
"12015008-CHOCOLATE QUENTE 3C VENDING 5S 5X1,1KG",07-12-2023,06-12-2024,51000,3758
"12015008-CHOCOLATE QUENTE 3C VENDING 5S 5X1,1KG",06-02-2024,05-02-2025,"1.750,00",3758
12016003-CAFE C-LEIT SC LT 12X300G,13-09-2023,12-09-2024,"1.009,00",848
12016500-AMIDO MILHO KIM 25X200G,07-08-2023,06-08-2025,1200,14526
12016500-AMIDO MILHO KIM 25X200G,19-12-2023,18-12-2025,"6.650,00",14526
12016500-AMIDO MILHO KIM 25X200G,03-02-2024,02-02-2026,"3.975,00",14526
12016501-AMIDO MILHO KIM 20X500G,28-09-2023,27-09-2025,600,20265
12016501-AMIDO MILHO KIM 20X500G,10-01-2024,09-01-2026,"1.700,00",20265
12016501-AMIDO MILHO KIM 20X500G,24-01-2024,23-01-2026,"6.720,00",20265
12016656-FLOCAO MILHO D CLARA ALM 30X500G,23-12-2023,23-07-2024,"8.388,00","3.375,50"
12016656-FLOCAO MILHO D CLARA ALM 30X500G,06-01-2024,06-08-2024,"29.250,00","3.375,50"
12016656-FLOCAO MILHO D CLARA ALM 30X500G,08-01-2024,08-08-2024,"3.900,00","3.375,50"
12016656-FLOCAO MILHO D CLARA ALM 30X500G,12-01-2024,12-08-2024,"9.750,00","3.375,50"
12016656-FLOCAO MILHO D CLARA ALM 30X500G,26-01-2024,26-08-2024,"29.280,00","3.375,50"
12016900-MILHO PIPOCA D CLARA ALM 20X500G,19-07-2023,18-03-2024,"2.000,00",35055
12016900-MILHO PIPOCA D CLARA ALM 20X500G,23-07-2023,22-03-2024,"1.000,00",35055
12016900-MILHO PIPOCA D CLARA ALM 20X500G,14-11-2023,14-07-2024,900,35055
12016900-MILHO PIPOCA D CLARA ALM 20X500G,23-01-2024,22-09-2024,12000,35055
12016900-MILHO PIPOCA D CLARA ALM 20X500G,02-02-2024,02-10-2024,"3.180,00",35055
12016901-MILHO PIPOCA KIM PULA PULA ALM 20X500G,12-07-2023,11-03-2024,67600,333
12016901-MILHO PIPOCA KIM PULA PULA ALM 20X500G,03-02-2024,03-10-2024,20000,333
12017000-CANJICA D CLARA MUGUNZA BR 20X500G,16-11-2023,17-05-2024,"1.900,00",233
12017000-CANJICA D CLARA MUGUNZA BR 20X500G,17-12-2023,17-06-2024,1800,233
12017001-CANJICA D CLARA MUGUNZA AM 20X500G,22-09-2023,22-05-2024,"1.960,00",233
12031164-CAFE TG 3C SUL M ESP ST FOOD 10X500G,30-07-2023,29-03-2024,2600,500
12017100-TEMPERO D CLARA MISTO C-COMIN 10X10X100G,22-01-2024,21-01-2025,47000,403
12017102-TEMPERO D CLARA MISTO S-COMIN 10X10X100G,23-11-2023,22-11-2024,30000,150
12017103-TEMPERO D CLARA MISTO C-COMIN 20X500G,29-01-2024,28-01-2025,2000,067
12017251-COLORIFICO D CLARA C-SAL 10X10X100G,11-01-2024,10-01-2025,"2.290,00",437
12017253-COLORIFICO D CLARA C-SAL EMB ECN 20X500G,01-02-2024,31-01-2025,20000,1067
12017416-FILTRO PAP SC 102-30 RED DES 40X30UN,07-11-2023,06-11-2026,80800,1592
12017417-FILTRO PAP SC 103-30 RED DES 40X30UN,08-11-2023,07-11-2026,100,2295
12017417-FILTRO PAP SC 103-30 RED DES 40X30UN,10-11-2023,09-11-2026,"11.498,00",2295
12021000-CAFE TM KIM ALM 10X500G,21-07-2023,20-07-2024,4000,000
12021007-CAFE TM KIM VAC 20X250G,06-01-2024,06-07-2025,2000,000
12021007-CAFE TM KIM VAC 20X250G,31-01-2024,31-07-2025,94000,000
12026501-AMIDO MILHO KIM 10X200G,26-01-2024,15-01-2026,"2.112,00",000
12027250-COLORIFICO KIM S-SAL 10X10X100G,22-01-2024,21-01-2025,4000,070
12031000-CAFE TM 3C DECAF VAC 20X250G,14-10-2023,13-04-2025,200,5151
12031000-CAFE TM 3C DECAF VAC 20X250G,24-10-2023,23-04-2025,"2.526,00",5151
12031000-CAFE TM 3C DECAF VAC 20X250G,13-11-2023,13-05-2025,"6.720,00",5151
12031000-CAFE TM 3C DECAF VAC 20X250G,14-12-2023,13-06-2025,"2.240,00",5151
12031002-CAFE TM 3C EF INT SPACK 20X250G,02-11-2023,01-11-2024,4000,25842
12031002-CAFE TM 3C EF INT SPACK 20X250G,11-11-2023,10-11-2024,"3.240,00",25842
12031002-CAFE TM 3C EF INT SPACK 20X250G,03-12-2023,02-12-2024,"12.600,00",25842
12031005-CAFE TM 3C EF VAC 20X250G,05-01-2024,05-07-2025,700,24007
12031005-CAFE TM 3C EF VAC 20X250G,15-01-2024,15-07-2025,"1.380,00",24007
12031007-CAFE TM 3C EF INT SPACK 10X500G,01-12-2023,30-11-2024,100,"1.799,67"
12031007-CAFE TM 3C EF INT SPACK 10X500G,03-12-2023,02-12-2024,600,"1.799,67"
12031007-CAFE TM 3C EF INT SPACK 10X500G,04-12-2023,03-12-2024,88000,"1.799,67"
12031007-CAFE TM 3C EF INT SPACK 10X500G,26-01-2024,25-01-2025,24500,"1.799,67"
12031007-CAFE TM 3C EF INT SPACK 10X500G,08-02-2024,07-02-2025,88000,"1.799,67"
12031013-CAFE TG 3C GOURM FOOD 5X1KG,04-12-2023,03-08-2024,78200,4460
12031014-CAFE TM 3C FORT SPACK 20X250G,15-09-2023,14-09-2024,300,16620
12031014-CAFE TM 3C FORT SPACK 20X250G,06-02-2024,05-02-2025,"5.096,00",16620
12031015-CAFE TM 3C FORT SPACK 10X500G,12-11-2023,11-11-2024,90000,76297
12031015-CAFE TM 3C FORT SPACK 10X500G,17-11-2023,16-11-2024,"6.300,00",76297
12031015-CAFE TM 3C FORT SPACK 10X500G,07-12-2023,06-12-2024,8000,76297
12031015-CAFE TM 3C FORT SPACK 10X500G,24-01-2024,23-01-2025,88000,76297
12031015-CAFE TM 3C FORT SPACK 10X500G,27-01-2024,26-01-2025,"8.424,00",76297
12031015-CAFE TM 3C FORT SPACK 10X500G,07-02-2024,06-02-2025,400,76297
12031016-CAFE TM 3C GOURM VAC 20X250G,28-11-2023,28-05-2025,34800,885
12031016-CAFE TM 3C GOURM VAC 20X250G,20-12-2023,19-06-2025,18000,885
12031019-CAFE TM 3C RIT ORGANICO VAC 20X250G,15-09-2023,15-03-2025,16900,183
12031023-CAFE TM 3C TRAD VAC 20X250G,29-11-2023,29-05-2025,78000,29519
12031023-CAFE TM 3C TRAD VAC 20X250G,03-01-2024,03-07-2025,500,29519
12031024-CAFE TM 3C TRAD INT SPACK 20X250G,16-12-2023,15-12-2024,"12.933,00",27198
12031025-CAFE TM 3C TRAD INT SPACK 10X500G,06-01-2024,05-01-2025,4000,"1.880,38"
12031025-CAFE TM 3C TRAD INT SPACK 10X500G,13-01-2024,12-01-2025,5000,"1.880,38"
12031025-CAFE TM 3C TRAD INT SPACK 10X500G,14-01-2024,13-01-2025,300,"1.880,38"
12031025-CAFE TM 3C TRAD INT SPACK 10X500G,07-02-2024,06-02-2025,"25.740,00","1.880,38"
12031097-CAFE TG 3C MOG PAUL FOOD 10X500G,11-10-2023,10-06-2024,700,167
12031097-CAFE TG 3C MOG PAUL FOOD 10X500G,24-01-2024,23-09-2024,2000,167
12031098-CAFE TG 3C SUL M FOOD 10X500G,02-12-2023,01-08-2024,4000,000
12031099-CAFE TG 3C CERR MIN FOOD 10X500G,08-09-2023,08-05-2024,2500,000
12031104-CAFE TM 3C ESTR REAL PREM VAC 20X250G,25-10-2023,24-04-2025,"1.411,00",2500
12031104-CAFE TM 3C ESTR REAL PREM VAC 20X250G,06-02-2024,06-08-2025,"1.660,00",2500
12031127-CAFE TM 3C ESTR REAL PREM 5S 10X500G,30-12-2023,29-12-2024,200,12725
12031127-CAFE TM 3C ESTR REAL PREM 5S 10X500G,31-12-2023,30-12-2024,4000,12725
12031127-CAFE TM 3C ESTR REAL PREM 5S 10X500G,23-01-2024,22-01-2025,"1.850,00",12725
12031127-CAFE TM 3C ESTR REAL PREM 5S 10X500G,14-02-2024,13-02-2025,"3.520,00",12725
12031141-CAFE TM 3C RITUAIS CERR MIN 4S 20X250G,14-06-2023,13-04-2024,1600,1917
12031141-CAFE TM 3C RITUAIS CERR MIN 4S 20X250G,12-02-2024,12-12-2024,"1.120,00",1917
12031142-CAFE TM 3C RITUAIS MOG PAUL 4S 20X250G,24-11-2023,23-09-2024,20700,1258
12031142-CAFE TM 3C RITUAIS MOG PAUL 4S 20X250G,09-12-2023,08-10-2024,"1.120,00",1258
12031143-CAFE TM 3C RITUAIS ORGANICO 4S 20X250G,10-11-2023,09-09-2024,38000,2083
12031143-CAFE TM 3C RITUAIS ORGANICO 4S 20X250G,11-11-2023,10-09-2024,60900,2083
12031144-CAFE TM 3C RITUAIS SUL M 4S 20X250G,07-02-2024,07-12-2024,96000,1350
12031144-CAFE TM 3C RITUAIS SUL M 4S 20X250G,16-08-2023,15-06-2024,5000,1350
12031147-KIT CAFE TM 3C EF VAC 30X500G + 1RL FILT,05-01-2024,05-07-2025,700,3800
12031147-KIT CAFE TM 3C EF VAC 30X500G + 1RL FILT,16-01-2024,16-07-2025,2000,3800
12031149-CAFE TM FRANS SPACK 20X250G,23-06-2023,22-04-2024,1900,184
12031149-CAFE TM FRANS SPACK 20X250G,07-02-2024,07-12-2024,70000,184
12031150-CAFE TG 3C RITUAIS ORGANICO 4S 20X250G,25-10-2023,24-06-2024,67800,533
12031151-CAFE TG 3C RITUAIS CERR MIN 4S 20X250G,13-07-2023,12-03-2024,800,1060
12031151-CAFE TG 3C RITUAIS CERR MIN 4S 20X250G,13-11-2023,13-07-2024,"1.040,00",1060
12031152-CAFE TG 3C RITUAIS MOG PAUL 4S 20X250G,27-06-2023,25-02-2024,1900,917
12031152-CAFE TG 3C RITUAIS MOG PAUL 4S 20X250G,28-07-2023,27-03-2024,1900,917
12031152-CAFE TG 3C RITUAIS MOG PAUL 4S 20X250G,19-09-2023,19-05-2024,2000,917
12031152-CAFE TG 3C RITUAIS MOG PAUL 4S 20X250G,13-11-2023,13-07-2024,80000,917
12031155-CAFE TG 3C ESPR GOURM PROF FOOD 5X1KG,05-11-2023,05-07-2024,7500,1667
12031155-CAFE TG 3C ESPR GOURM PROF FOOD 5X1KG,24-11-2023,24-07-2024,36000,1667
12031164-CAFE TG 3C SUL M ESP ST FOOD 10X500G,14-12-2023,13-08-2024,19000,500
12031213-CAFE TM 3C EF VAC 20X500G,25-11-2023,25-05-2025,4500,88975
12031213-CAFE TM 3C EF VAC 20X500G,06-01-2024,06-07-2025,"4.560,00",88975
12031213-CAFE TM 3C EF VAC 20X500G,19-01-2024,19-07-2025,"4.940,00",88975
12031213-CAFE TM 3C EF VAC 20X500G,01-02-2024,01-08-2025,"16.200,00",88975
12031213-CAFE TM 3C EF VAC 20X500G,08-02-2024,08-08-2025,"14.580,00",88975
12031214-CAFE TM 3C FORT VAC 20X500G,12-01-2024,12-07-2025,100,17238
12031214-CAFE TM 3C FORT VAC 20X500G,26-01-2024,26-07-2025,70000,17238
12031215-CAFE TM 3C TRAD VAC 20X500G,05-11-2023,05-05-2025,4000,"1.007,45"
12031215-CAFE TM 3C TRAD VAC 20X500G,27-11-2023,27-05-2025,3700,"1.007,45"
12031215-CAFE TM 3C TRAD VAC 20X500G,30-11-2023,30-05-2025,"1.100,00","1.007,45"
12031215-CAFE TM 3C TRAD VAC 20X500G,08-01-2024,08-07-2025,"4.860,00","1.007,45"
12031215-CAFE TM 3C TRAD VAC 20X500G,09-01-2024,09-07-2025,"1.620,00","1.007,45"
12031215-CAFE TM 3C TRAD VAC 20X500G,05-02-2024,05-08-2025,"6.480,00","1.007,45"
12031216-CAFE TM 3C ESTR REAL PREM VAC 20X500G,21-12-2023,20-06-2025,1000,4328
12031216-CAFE TM 3C ESTR REAL PREM VAC 20X500G,13-01-2024,13-07-2025,54800,4328
12031216-CAFE TM 3C ESTR REAL PREM VAC 20X500G,28-01-2024,28-07-2025,"1.620,00",4328
12031220-CAFE TM 3C GOURM DARK 4S 20X250G,06-12-2023,05-10-2024,46400,8274
12031220-CAFE TM 3C GOURM DARK 4S 20X250G,07-12-2023,06-10-2024,"1.120,00",8274
12031220-CAFE TM 3C GOURM DARK 4S 20X250G,11-01-2024,10-11-2024,200,8274
12031220-CAFE TM 3C GOURM DARK 4S 20X250G,03-02-2024,03-12-2024,"4.000,00",8274
12031226-CAFE TM 3C GOURM MOG PAUL 4S 20X250G,15-01-2024,14-11-2024,10800,20008
12031226-CAFE TM 3C GOURM MOG PAUL 4S 20X250G,23-01-2024,22-11-2024,"6.323,00",20008
12031227-CAFE TM 3C GOURM CERR MIN 4S 20X250G,21-01-2024,20-11-2024,9600,23489
12031227-CAFE TM 3C GOURM CERR MIN 4S 20X250G,01-02-2024,01-12-2024,4300,23489
12031227-CAFE TM 3C GOURM CERR MIN 4S 20X250G,04-02-2024,04-12-2024,"5.600,00",23489
12031228-CAFE TM 3C GOURM SUL M 4S 20X250G,15-01-2024,14-11-2024,4000,17514
12031228-CAFE TM 3C GOURM SUL M 4S 20X250G,17-01-2024,16-11-2024,1600,17514
12031228-CAFE TM 3C GOURM SUL M 4S 20X250G,06-02-2024,06-12-2024,"11.560,00",17514
12031272-CAFE DRIP 3C GOU DARK 12X10X11G,30-12-2023,29-06-2025,"8.400,00",440
12031272-CAFE DRIP 3C GOU DARK 12X10X11G,02-01-2024,02-07-2025,37000,440
12031272-CAFE DRIP 3C GOU DARK 12X10X11G,27-01-2024,27-07-2025,"8.400,00",440
12031293-KIT CAFE TM 3C GOU SUL M+MOG P 4S 2X250G,22-10-2023,21-08-2024,15000,667
12031295-CAFE DRIP 3C TRAD 12X10X10G,08-11-2023,08-05-2025,"4.580,00",123
12031303-CAFE DRIP 3C GOUR MAT MIN 12X10X10G,18-12-2023,17-06-2025,"8.580,00",209
12031350-KIT CAFE TM 3C GOURM CER+MOG PAUL 2X250G,14-11-2023,13-09-2024,33000,667
12031351-KIT CAFE TM 3C GOURM CERR+SUL MIN 2X250G,05-01-2024,04-11-2024,17000,667
12031351-KIT CAFE TM 3C GOURM CERR+SUL MIN 2X250G,06-01-2024,05-11-2024,36000,667
12031351-KIT CAFE TM 3C GOURM CERR+SUL MIN 2X250G,15-01-2024,14-11-2024,72000,667
12031363-CAFE TG 3C HAVANNA CER MIN FS 10X500G,28-10-2023,27-06-2024,36000,550
12031363-CAFE TG 3C HAVANNA CER MIN FS 10X500G,14-11-2023,14-07-2024,78000,550
12031364-CAFE TM 3C HAVANNA CER MIN FS 20X250G,15-12-2023,14-10-2024,18000,167
12031364-CAFE TM 3C HAVANNA CER MIN FS 20X250G,03-02-2024,03-12-2024,80000,167
12031378-CAFE DRIP 3C FLOR PREM 12X10X10G,14-12-2023,13-06-2025,47000,016
12031412-CAFE TM 3C PORT OB PENEI AM 4S 20X250G,09-12-2023,08-10-2024,54300,1342
12031413-CAFE TM 3C PORT OB CAFE MM 4S 20X250G,19-01-2024,18-11-2024,53400,983
12031414-CAFE TM 3C PORT OB SOL PIP CM 4S 20X250G,18-01-2024,17-11-2024,32600,820
12031415-CAFE DRIP 3C PORT OB PENEI 12X10X11G,11-11-2023,11-05-2025,"4.250,00",188
12031415-CAFE DRIP 3C PORT OB PENEI 12X10X11G,12-11-2023,12-05-2025,"6.000,00",188
12031440-CAFE TM 3C FORZA INTEN MAX 4S 20X250G,25-11-2023,24-09-2024,72000,700
12031441-KIT CAFE TM 3C TRAD VAC 2X500G,17-07-2023,14-01-2025,15600,7200
12031441-KIT CAFE TM 3C TRAD VAC 2X500G,17-08-2023,14-02-2025,50400,7200
12031442-KIT CAFE TM 3C EF VAC 2X500G,19-07-2023,16-01-2025,96000,000
12031442-KIT CAFE TM 3C EF VAC 2X500G,18-08-2023,15-02-2025,"1.512,00",000
12031464-CAFE TG 3C GRAO ESPR FS SPAC 10X500G,22-08-2023,21-08-2024,11000,100
12031469-CAFE TM 3C EF VAC 10X500G,24-11-2023,24-05-2025,1500,000
12031469-CAFE TM 3C EF VAC 10X500G,26-01-2024,26-07-2025,"1.110,00",000
12031470-CAFE TM 3C TRAD VAC 10X500G,16-01-2024,16-07-2025,"3.470,00",000
12031474-CAFE TM 3C GOU DARK 5S 10X500G,10-12-2023,09-12-2024,"1.970,00",000
12031477-CAFE TM 3C FORZA INTEN MAX 5S 10X500G,18-01-2024,17-01-2025,99000,000
12031477-CAFE TM 3C FORZA INTEN MAX 5S 10X500G,19-01-2024,18-01-2025,70000,000
12031479-CAFE TG 3C ESPR GOU FS SPAC 10X500G,17-01-2024,16-09-2024,78000,000
12032016-CAFE SOL 3C LIOF VID 24X100G,26-10-2023,25-10-2026,1100,1419
12032016-CAFE SOL 3C LIOF VID 24X100G,03-11-2023,02-11-2026,"8.496,00",1419
12032017-CAFE SOL 3C GRAN TRAD VD ASTEC 24X100G,31-10-2023,30-10-2026,9600,2616
12032017-CAFE SOL 3C GRAN TRAD VD ASTEC 24X100G,01-11-2023,31-10-2026,800,2616
12032017-CAFE SOL 3C GRAN TRAD VD ASTEC 24X100G,05-11-2023,04-11-2026,16800,2616
12032017-CAFE SOL 3C GRAN TRAD VD ASTEC 24X100G,23-11-2023,22-11-2026,"1.680,00",2616
12032017-CAFE SOL 3C GRAN TRAD VD ASTEC 24X100G,25-01-2024,24-01-2027,"1.680,00",2616
12032018-CAFE SOL 3C GRAN TRAD VD ASTEC 12X200G,25-11-2023,24-11-2026,38400,1101
12032018-CAFE SOL 3C GRAN TRAD VD ASTEC 12X200G,02-12-2023,01-12-2026,10000,1101
12032018-CAFE SOL 3C GRAN TRAD VD ASTEC 12X200G,08-02-2024,07-02-2027,"1.584,00",1101
12032022-CAFE SOL 3C GRAN DESC VD ASTEC 24X50G,12-09-2023,11-09-2026,"1.997,00",328
12032023-CAFE SOL 3C GRAN TRAD VD ASTEC 24X50G,23-11-2023,22-11-2026,88800,1123
12032023-CAFE SOL 3C GRAN TRAD VD ASTEC 24X50G,21-12-2023,20-12-2026,6800,1123
12032025-CAFE SOL 3C LIOF SACHE 500X2G,09-09-2022,08-09-2024,50000,000
12032037-KIT CAFE SOL 3C LIOF VID L3P2,23-03-2021,22-03-2024,60000,000
12032038-KIT CAFE SOL 3C LIOF ARAB VID 2X100G,26-03-2023,25-03-2026,46000,000
12032040-CAFE SOL LIO 3C PORT OB PENE VID 24X100G,04-01-2023,03-01-2026,28800,000
12032046-CAFE SOL 3C GRAN TRAD VID 6X100G,10-12-2023,09-12-2026,64500,000
12032046-CAFE SOL 3C GRAN TRAD VID 6X100G,10-01-2024,09-01-2027,"1.680,00",000
12032047-CAFE SOL 3C GRAN DECAF VID AST 6X50G,02-01-2023,01-01-2026,"2.112,00",000
12032047-CAFE SOL 3C GRAN DECAF VID AST 6X50G,02-10-2023,01-10-2026,"1.883,00",000
12032047-CAFE SOL 3C GRAN DECAF VID AST 6X50G,03-10-2023,02-10-2026,"2.112,00",000
12032048-CAFE SOL 3C GRAN TRAD VID AST 12X50G,17-09-2023,16-09-2026,77100,000
12032048-CAFE SOL 3C GRAN TRAD VID AST 12X50G,22-12-2023,21-12-2026,7200,000
12032049-CAFE SOL 3C GRAN TRAD VID 6X200G,25-10-2023,24-10-2026,36000,000
12032050-CAFE SOL 3C LIOF VID 6X100G,26-10-2023,25-10-2026,24000,000
12032501-CAFE SOL 3C GRAN TRAD REF 24X50G,09-12-2023,08-12-2025,2400,183
